"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"14.01.2017 18:00 - 14.01.2017 19:00 (CET/CEST)","67275","0"
"14.01.2017 19:00 - 14.01.2017 20:00 (CET/CEST)","66812","0"
"14.01.2017 20:00 - 14.01.2017 21:00 (CET/CEST)","63090","0"
"14.01.2017 21:00 - 14.01.2017 22:00 (CET/CEST)","60657","0"
"14.01.2017 22:00 - 14.01.2017 23:00 (CET/CEST)","59807","0"
"14.01.2017 23:00 - 15.01.2017 00:00 (CET/CEST)","58275","0"
"15.01.2017 00:00 - 15.01.2017 01:00 (CET/CEST)","56166","0"
"15.01.2017 01:00 - 15.01.2017 02:00 (CET/CEST)","54258","0"
"15.01.2017 02:00 - 15.01.2017 03:00 (CET/CEST)","53004","0"
"15.01.2017 03:00 - 15.01.2017 04:00 (CET/CEST)","52215","0"
"15.01.2017 04:00 - 15.01.2017 05:00 (CET/CEST)","51235","0"
"15.01.2017 05:00 - 15.01.2017 06:00 (CET/CEST)","50671","0"
"15.01.2017 06:00 - 15.01.2017 07:00 (CET/CEST)","49845","0"
