"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"03.01.2017 18:45 - 03.01.2017 19:00","75974","83233"
"03.01.2017 19:00 - 03.01.2017 19:15","74999","82577"
"03.01.2017 19:15 - 03.01.2017 19:30","74366","81879"
"03.01.2017 19:30 - 03.01.2017 19:45","73690","81372"
"03.01.2017 19:45 - 03.01.2017 20:00","72731","80527"
"03.01.2017 20:00 - 03.01.2017 20:15","70994","79252"
"03.01.2017 20:15 - 03.01.2017 20:30","69102","77999"
"03.01.2017 20:30 - 03.01.2017 20:45","68462","76602"
"03.01.2017 20:45 - 03.01.2017 21:00","67563","75606"
"03.01.2017 21:00 - 03.01.2017 21:15","66343","74614"
"03.01.2017 21:15 - 03.01.2017 21:30","66001","73756"
"03.01.2017 21:30 - 03.01.2017 21:45","65508","73051"
"03.01.2017 21:45 - 03.01.2017 22:00","64506","72226"
"03.01.2017 22:00 - 03.01.2017 22:15","64613","72400"
"03.01.2017 22:15 - 03.01.2017 22:30","64153","71537"
"03.01.2017 22:30 - 03.01.2017 22:45","62905","70544"
"03.01.2017 22:45 - 03.01.2017 23:00","61646","69216"
"03.01.2017 23:00 - 03.01.2017 23:15","60030","68157"
"03.01.2017 23:15 - 03.01.2017 23:30","58990","66977"
"03.01.2017 23:30 - 03.01.2017 23:45","57692","65774"
"03.01.2017 23:45 - 04.01.2017 00:00","56910","64658"
"04.01.2017 00:00 - 04.01.2017 00:15","55974","64113"
"04.01.2017 00:15 - 04.01.2017 00:30","55186","63207"
"04.01.2017 00:30 - 04.01.2017 00:45","54581","62663"
"04.01.2017 00:45 - 04.01.2017 01:00","54068","61882"
"04.01.2017 01:00 - 04.01.2017 01:15","53401","61231"
"04.01.2017 01:15 - 04.01.2017 01:30","52644","60907"
"04.01.2017 01:30 - 04.01.2017 01:45","52246","60578"
"04.01.2017 01:45 - 04.01.2017 02:00","51985","60157"
"04.01.2017 02:00 - 04.01.2017 02:15","51589","59719"
"04.01.2017 02:15 - 04.01.2017 02:30","51495","59377"
"04.01.2017 02:30 - 04.01.2017 02:45","51361","59286"
"04.01.2017 02:45 - 04.01.2017 03:00","51346","59220"
"04.01.2017 03:00 - 04.01.2017 03:15","51419","59280"
"04.01.2017 03:15 - 04.01.2017 03:30","51313","59287"
"04.01.2017 03:30 - 04.01.2017 03:45","51238","59574"
"04.01.2017 03:45 - 04.01.2017 04:00","51646","59731"
"04.01.2017 04:00 - 04.01.2017 04:15","52182","60070"
"04.01.2017 04:15 - 04.01.2017 04:30","52680","60258"
"04.01.2017 04:30 - 04.01.2017 04:45","52937","60810"
"04.01.2017 04:45 - 04.01.2017 05:00","53638","61259"
"04.01.2017 05:00 - 04.01.2017 05:15","55133","62184"
"04.01.2017 05:15 - 04.01.2017 05:30","55593","62748"
"04.01.2017 05:30 - 04.01.2017 05:45","56461","63792"
"04.01.2017 05:45 - 04.01.2017 06:00","57720","65073"
"04.01.2017 06:00 - 04.01.2017 06:15","59964","67151"
"04.01.2017 06:15 - 04.01.2017 06:30","61618","69187"
"04.01.2017 06:30 - 04.01.2017 06:45","63928","71037"
"04.01.2017 06:45 - 04.01.2017 07:00","65549","72769"
"04.01.2017 07:00 - 04.01.2017 07:15","67399","74756"
"04.01.2017 07:15 - 04.01.2017 07:30","69139","76399"
"04.01.2017 07:30 - 04.01.2017 07:45","69400","77598"
"04.01.2017 07:45 - 04.01.2017 08:00","71584","78752"
"04.01.2017 08:00 - 04.01.2017 08:15","71494","79749"
"04.01.2017 08:15 - 04.01.2017 08:30","73103","80278"
"04.01.2017 08:30 - 04.01.2017 08:45","73718","80731"
"04.01.2017 08:45 - 04.01.2017 09:00","73718","81028"
"04.01.2017 09:00 - 04.01.2017 09:15","73546","81110"
"04.01.2017 09:15 - 04.01.2017 09:30","74339","81660"
"04.01.2017 09:30 - 04.01.2017 09:45","74549","81813"
"04.01.2017 09:45 - 04.01.2017 10:00","74346","82387"
"04.01.2017 10:00 - 04.01.2017 10:15","74079","82795"
"04.01.2017 10:15 - 04.01.2017 10:30","75219","83088"
"04.01.2017 10:30 - 04.01.2017 10:45","74922","83312"
"04.01.2017 10:45 - 04.01.2017 11:00","75176","83384"
"04.01.2017 11:00 - 04.01.2017 11:15","75599","83355"
"04.01.2017 11:15 - 04.01.2017 11:30","75863","83704"
"04.01.2017 11:30 - 04.01.2017 11:45","76296","84308"
"04.01.2017 11:45 - 04.01.2017 12:00","75764","84364"
"04.01.2017 12:00 - 04.01.2017 12:15","75742","84111"
"04.01.2017 12:15 - 04.01.2017 12:30","76254","83544"
"04.01.2017 12:30 - 04.01.2017 12:45","75731","83357"
"04.01.2017 12:45 - 04.01.2017 13:00","75437","83387"
"04.01.2017 13:00 - 04.01.2017 13:15","76041","82882"
"04.01.2017 13:15 - 04.01.2017 13:30","75166","82483"
"04.01.2017 13:30 - 04.01.2017 13:45","75008","82255"
"04.01.2017 13:45 - 04.01.2017 14:00","74315","81701"
"04.01.2017 14:00 - 04.01.2017 14:15","73189","81515"
"04.01.2017 14:15 - 04.01.2017 14:30","72985","81220"
"04.01.2017 14:30 - 04.01.2017 14:45","72757","81066"
"04.01.2017 14:45 - 04.01.2017 15:00","73301","80851"
"04.01.2017 15:00 - 04.01.2017 15:15","73768","80543"
"04.01.2017 15:15 - 04.01.2017 15:30","73165","80385"
"04.01.2017 15:30 - 04.01.2017 15:45","72760","80119"
"04.01.2017 15:45 - 04.01.2017 16:00","73526","80032"
"04.01.2017 16:00 - 04.01.2017 16:15","73632","80283"
"04.01.2017 16:15 - 04.01.2017 16:30","74430","80521"
"04.01.2017 16:30 - 04.01.2017 16:45","75228","81315"
"04.01.2017 16:45 - 04.01.2017 17:00","75607","82410"
"04.01.2017 17:00 - 04.01.2017 17:15","77653","83069"
"04.01.2017 17:15 - 04.01.2017 17:30","77573","83916"
"04.01.2017 17:30 - 04.01.2017 17:45","78435","84014"
"04.01.2017 17:45 - 04.01.2017 18:00","78555","84051"
"04.01.2017 18:00 - 04.01.2017 18:15","78531","83521"
"04.01.2017 18:15 - 04.01.2017 18:30","78474","83123"
"04.01.2017 18:30 - 04.01.2017 18:45","78282","82530"
"04.01.2017 18:45 - 04.01.2017 19:00","78194","82174"
"04.01.2017 19:00 - 04.01.2017 19:15","77387","81572"
"04.01.2017 19:15 - 04.01.2017 19:30","76576","80880"
"04.01.2017 19:30 - 04.01.2017 19:45","75936","80272"
"04.01.2017 19:45 - 04.01.2017 20:00","75362","79691"
"04.01.2017 20:00 - 04.01.2017 20:15","72674","78162"
"04.01.2017 20:15 - 04.01.2017 20:30","71173","76674"
"04.01.2017 20:30 - 04.01.2017 20:45","70473","75409"
"04.01.2017 20:45 - 04.01.2017 21:00","69676","74396"
"04.01.2017 21:00 - 04.01.2017 21:15","68441","73856"
"04.01.2017 21:15 - 04.01.2017 21:30","67967","73271"
"04.01.2017 21:30 - 04.01.2017 21:45","67669","72482"
"04.01.2017 21:45 - 04.01.2017 22:00","66817","71924"
"04.01.2017 22:00 - 04.01.2017 22:15","67019","72099"
"04.01.2017 22:15 - 04.01.2017 22:30","66283","71569"
"04.01.2017 22:30 - 04.01.2017 22:45","64976","70030"
"04.01.2017 22:45 - 04.01.2017 23:00","63724","68828"
"04.01.2017 23:00 - 04.01.2017 23:15","61889","67780"
"04.01.2017 23:15 - 04.01.2017 23:30","60743","66751"
"04.01.2017 23:30 - 04.01.2017 23:45","59398","65705"
"04.01.2017 23:45 - 05.01.2017 00:00","58746","64969"
"05.01.2017 00:00 - 05.01.2017 00:15","58910","63244"
"05.01.2017 00:15 - 05.01.2017 00:30","58385","62298"
"05.01.2017 00:30 - 05.01.2017 00:45","57364","61233"
"05.01.2017 00:45 - 05.01.2017 01:00","56914","60382"
"05.01.2017 01:00 - 05.01.2017 01:15","56338","59740"
"05.01.2017 01:15 - 05.01.2017 01:30","55745","59185"
"05.01.2017 01:30 - 05.01.2017 01:45","55252","58887"
"05.01.2017 01:45 - 05.01.2017 02:00","54672","58458"
"05.01.2017 02:00 - 05.01.2017 02:15","54565","58261"
"05.01.2017 02:15 - 05.01.2017 02:30","54333","58109"
"05.01.2017 02:30 - 05.01.2017 02:45","54764","58139"
"05.01.2017 02:45 - 05.01.2017 03:00","54210","58147"
"05.01.2017 03:00 - 05.01.2017 03:15","54375","57990"
"05.01.2017 03:15 - 05.01.2017 03:30","54166","58041"
"05.01.2017 03:30 - 05.01.2017 03:45","54174","58231"
"05.01.2017 03:45 - 05.01.2017 04:00","54684","58250"
"05.01.2017 04:00 - 05.01.2017 04:15","54912","58780"
"05.01.2017 04:15 - 05.01.2017 04:30","55656","59071"
"05.01.2017 04:30 - 05.01.2017 04:45","55451","59331"
"05.01.2017 04:45 - 05.01.2017 05:00","56146","59915"
"05.01.2017 05:00 - 05.01.2017 05:15","57196","60944"
"05.01.2017 05:15 - 05.01.2017 05:30","57426","61812"
"05.01.2017 05:30 - 05.01.2017 05:45","58223","62715"
"05.01.2017 05:45 - 05.01.2017 06:00","59413","63797"
"05.01.2017 06:00 - 05.01.2017 06:15","61896","65396"
"05.01.2017 06:15 - 05.01.2017 06:30","63238","67434"
"05.01.2017 06:30 - 05.01.2017 06:45","65540","69256"
"05.01.2017 06:45 - 05.01.2017 07:00","66586","71108"
"05.01.2017 07:00 - 05.01.2017 07:15","69060","73082"
"05.01.2017 07:15 - 05.01.2017 07:30","69793","74365"
"05.01.2017 07:30 - 05.01.2017 07:45","72563","75894"
